Work Item Type,Title,Description,Acceptance Criteria,Parent
User Story,Registrar cuenta,Yo como Submitter quiero registrarme con mis datos para entonces poder usar PokéGrading y empezar a evaluar mis cartas.,"• Registro con: correo (único), alias, contraseña, país de residencia e idioma preferido (español por default; inglés alternativo).
• Al crear la cuenta el sistema autogenera ID único, fecha de creación (timestamp UTC) y fecha de último login; rol Submitter asignado por default y cuenta activa de inmediato (sin correo de confirmación).
• Antes de finalizar, el usuario acepta el disclosure: PokéGrading es informativo y no sustituye PSA, BGS ni CGC.
• Validaciones: correo en formato válido y único en el sistema; contraseña con longitud mínima, al menos una mayúscula y un dígito; país perteneciente al listado de mercados atendidos (CR, PA, MX, CO, CL, AR como referencia inicial).
• Mensajes de error específicos por campo: correo duplicado, formato inválido, contraseña fuera de reglas, país no soportado, disclosure no aceptado.
Alternos:
• Si alguna validación falla, no se crea la cuenta y se indica el motivo del campo afectado.
• Si el dominio del correo está en lista bloqueada (correos descartables o dominios no autorizados), se rechaza el registro sin crear cuenta.",
User Story,Iniciar sesión,Yo como Submitter quiero iniciar sesión con mi correo y contraseña para entonces acceder a mis evaluaciones e historial.,"• Login con correo y contraseña; al validar credenciales se crea sesión y se redirige al panel principal.
Alternos:
• Si el correo o la contraseña son incorrectos, se muestra un mensaje genérico que no revela cuál de los dos falló.
• Si la cuenta está suspendida, se informa al usuario y se bloquea el acceso.",
User Story,Restablecer contraseña,Yo como Submitter quiero restablecer mi contraseña cuando la olvide para entonces recuperar el acceso a mi cuenta.,"• El usuario solicita el restablecimiento ingresando su correo registrado; el sistema responde con mensaje genérico independientemente de si el correo existe.
• Se envía un enlace de recuperación con token único, vigencia de 1 hora y un solo uso.
• Al abrir el enlace el usuario ingresa la nueva contraseña dos veces (confirmación); aplica las mismas reglas de complejidad que el registro y no puede ser igual a la anterior.
• Al restablecer exitosamente: todas las sesiones activas previas quedan invalidadas, se envía correo de confirmación del cambio y queda registrado en auditoría con timestamp e IP de origen.
Alternos:
• Si el correo no existe, se muestra el mismo mensaje genérico para no revelar qué correos están registrados (no se envía correo).
• Si el enlace expiró o ya fue usado, se rechaza la operación y se ofrece solicitar uno nuevo.
• Si la nueva contraseña no cumple las reglas o coincide con la anterior, se rechaza el cambio con motivo específico.
• Más de 3 solicitudes para el mismo correo en 1 hora activan rate limiting y se informa al usuario.",
User Story,Cerrar sesión,Yo como Submitter quiero cerrar sesión en cualquier momento para entonces proteger mi cuenta cuando termino de usar la plataforma.,"• El usuario puede cerrar sesión desde cualquier dispositivo donde esté autenticado.
• Tras cerrar sesión, el acceso requiere autenticarse de nuevo y se redirige al inicio.
Alternos:
• Si falla la red durante el cierre, se advierte que la sesión podría no haberse cerrado y se ofrece reintentar.",
User Story,Editar perfil,Yo como Submitter quiero editar mi perfil para entonces mantener mi información actualizada.,"• Campos editables: alias, contraseña, país e idioma preferido — los mismos campos del registro excepto correo y rol.
• Las validaciones aplicadas son las mismas que en el registro (formato, reglas de contraseña, países soportados, idioma válido); cualquier cambio que las viole bloquea la actualización.
• El cambio de contraseña requiere ingresar la actual y la nueva debe cumplir las mismas reglas que en registro y no coincidir con la anterior.
• Al confirmar, los cambios se persisten y se muestra confirmación al usuario.
• Cada cambio queda en auditoría inmutable por campo: autor, timestamp, valor anterior y valor nuevo.
Alternos:
• Si alguno de los campos no cumple las reglas de validación, no se aplican cambios y se indica el motivo del campo afectado.
• Si la contraseña actual es incorrecta, se rechaza el cambio sin tocar los otros campos.
• Ante un fallo del sistema al guardar, los cambios no se aplican parcialmente y se ofrece reintentar.",
User Story,Crear cuenta Admin con doble verificación,Yo como SuperAdmin quiero crear y activar cuentas Admin con doble verificación para entonces controlar quién obtiene acceso administrativo al sistema.,"• Paso 1 — Creación: el SuperAdmin ingresa correo, alias y rol Admin; la cuenta queda en estado ‘pendiente de activación’ y queda registrado el solicitante con timestamp.
• Paso 2 — Verificación: la cuenta se activa solo cuando se cumplen ambos eventos: (a) un segundo Admin o SuperAdmin aprueba la creación desde la consola administrativa, y (b) el nuevo Admin abre el enlace de activación enviado a su correo (un solo uso, vigencia 24 horas) y establece su contraseña inicial.
• Una vez activada, la cuenta queda registrada con autor del paso 1, autor del paso 2, timestamps y método; recién en este momento puede iniciar sesión.
Alternos:
• Si el enlace de activación expira sin usarse, la cuenta pasa a estado ‘expirada’ y debe re-crearse.
• Si el segundo verificador rechaza la creación, la cuenta no se activa y se notifica al solicitante con motivo.
• Si el correo ya existe en el sistema en cualquier rol, no se permite la creación.
• Mientras esté en ‘pendiente de activación’, la cuenta no puede iniciar sesión.",
User Story,Crear cuenta Reviewer,Yo como Admin quiero crear y activar cuentas Reviewer para entonces tener operadores que puedan calibrar evaluaciones de baja confianza.,"• Paso 1 — Creación: el Admin ingresa correo, alias y rol Reviewer; la cuenta queda en estado ‘pendiente de activación’ con registro del Admin solicitante y timestamp.
• Paso 2 — Activación: el Reviewer recibe correo con enlace de activación (un solo uso, vigencia 24 horas); al abrirlo establece su contraseña inicial y la cuenta queda activa.
• A diferencia de Admin, no requiere segundo verificador.
• Mientras esté en ‘pendiente de activación’, la cuenta no puede iniciar sesión.
Alternos:
• Si el enlace de activación expira sin usarse, la cuenta pasa a estado ‘expirada’ y debe re-crearse.
• Si el correo ya existe en cualquier rol, no se permite la creación.
• Si el Admin no tiene permisos para crear Reviewers, la operación es rechazada.",
User Story,"Aprovisionar cuenta de servicio B2B con API key, cuota mensual y SLA",Yo como Admin quiero aprovisionar cuentas de servicio B2B vinculadas a un Customer B2B (tienda) y emitir API keys con cuota y SLA contractuales para entonces permitir que las tiendas integren PokéGrading en su flujo de atención al cliente.,"• Customer B2B (tienda): la cuenta B2B se vincula a un Customer B2B ya creado en el sistema con datos de la entidad legal, contacto comercial, contacto técnico y dirección de facturación. El Customer B2B es una entidad distinta del Submitter (consumidor B2C): un Submitter es la cuenta individual de una persona, mientras que un Customer B2B es una empresa con potencialmente múltiples cuentas de servicio.
• Plan asignado: el Admin selecciona uno de los planes B2B disponibles (referencia inicial: Starter 100 evals/mes, Growth 500/mes, Pro 2000/mes, Enterprise > 5000/mes negociado caso a caso).
• Cuota mensual: heredada del plan; el Admin puede ajustarla solo dentro de los límites permitidos por el plan.
• SLA contractual: definido por plan (referencia: 99.0% Starter, 99.5% Growth, 99.9% Pro/Enterprise) con tiempos de respuesta diferenciados; aplica en métricas como p95 y disponibilidad.
• API key: al aprovisionar se genera una API key única, se muestra una sola vez al Admin (one-time view) y nunca se persiste en plano legible; un Customer B2B puede tener múltiples API keys etiquetadas (ej: producción, staging).
• Estados de la API key: activa, rotada (con periodo de gracia configurable para la versión anterior) y revocada.
• Onboarding email: el contacto técnico del Customer B2B recibe correo con la API key (one-time view) e instrucciones de integración.
• Registro: queda registrado el Customer B2B, plan, cuota inicial, SLA, fecha de provisión y Admin responsable.
Alternos:
• Si el Customer B2B no existe, debe crearse primero o el flujo ofrece crearlo en la misma operación.
• Datos incompletos del Customer B2B o plan no seleccionado bloquean la provisión.
• Si el Customer B2B ya tiene una API key activa con la misma etiqueta, se rechaza para evitar duplicados; el Admin puede usar otra etiqueta para crear una API key adicional.
• Si la generación de la API key falla, no se persiste estado parcial y se ofrece reintentar.
• Para Customers B2B Enterprise con SLA negociado, los valores se ingresan manualmente respetando los límites del contrato.",
User Story,Suspender o reactivar cuenta con registro de auditoría,Yo como Admin quiero suspender o reactivar cuentas desde los listados administrativos para entonces controlar el acceso ante incumplimientos o resolución de incidencias.,"• La acción se ejecuta sobre una cuenta seleccionada desde uno de los listados administrativos: Submitters B2C (1.3.1), Customers B2B y sus cuentas de servicio (1.3.2) o Usuarios Internos (1.3.3); los listados permiten filtrar por estado para identificar cuentas activas o suspendidas antes de actuar.
• Al seleccionar la cuenta, se muestra estado actual, historial de cambios de estado y se permite cambiar a ‘suspendida’ o ‘activa’ según corresponda.
• La acción requiere motivo obligatorio y queda en auditoría inmutable con autor, timestamp, tipo de cuenta (Submitter B2C, Customer B2B, Admin o Reviewer), valor anterior y motivo.
• Una cuenta suspendida no puede iniciar sesión ni consumir el API; las sesiones activas se invalidan al suspender.
• Para Customers B2B: la suspensión revoca todas las API keys activas del Customer B2B; la reactivación restaura el acceso del Customer B2B pero NO regenera las API keys revocadas — deben re-aprovisionarse con nueva API key por seguridad.
• Para Submitters B2C: la suspensión solo bloquea login y consumo del producto; al reactivar, el Submitter recupera acceso con sus credenciales originales.
Alternos:
• Si la cuenta ya está en el estado solicitado, la operación se ignora y se informa el estado actual.
• Si el Admin no tiene permisos sobre el rol objetivo (ej: un Admin común no puede actuar sobre SuperAdmin), se rechaza con mensaje claro.
• Si un Customer B2B fue suspendido automáticamente por agotamiento de cuota, la reactivación es posible pero las API keys revocadas siguen revocadas.",
User Story,Listar y buscar Submitters con filtros operativos,Yo como Admin quiero listar y buscar Submitters (consumidores B2C) con filtros operativos para entonces gestionar usuarios individuales y atender solicitudes de soporte.,"• Lista paginada con alias, correo, país, plan, estado y último acceso.
• Filtros por estado y plan; búsqueda por correo o alias parcial.
Alternos:
• Si el filtro no devuelve resultados, se muestra estado vacío con sugerencias para ajustar la búsqueda.
• Si la consulta falla, se ofrece reintentar sin perder los filtros.",
